IdProducto,IdCategoria,NombreProducto,Descripcion,Precio,Stock,MaterialInfo,GuiaTallas,Activo,FechaCreacion,IdProductoImagen,IdProducto,ImagenUrl,Color,EsPrincipal,IdProductoVariante,IdProducto,Talla,Color,Stock
1,1,"Conjunto Rosa Clásico","Conjunto de brassier y panty en encaje suave",45000.00,20,"90% Nylon, 10% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",1,1,https://images.example.com/conjunto-rosa-1.jpg,Rosa,1,1,1,S,Rosa,5
1,1,"Conjunto Rosa Clásico","Conjunto de brassier y panty en encaje suave",45000.00,20,"90% Nylon, 10% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",2,1,https://images.example.com/conjunto-rosa-2.jpg,Rosa,0,1,1,S,Rosa,5
1,1,"Conjunto Rosa Clásico","Conjunto de brassier y panty en encaje suave",45000.00,20,"90% Nylon, 10% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",1,1,https://images.example.com/conjunto-rosa-1.jpg,Rosa,1,2,1,M,Rosa,8
1,1,"Conjunto Rosa Clásico","Conjunto de brassier y panty en encaje suave",45000.00,20,"90% Nylon, 10% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",2,1,https://images.example.com/conjunto-rosa-2.jpg,Rosa,0,2,1,M,Rosa,8
1,1,"Conjunto Rosa Clásico","Conjunto de brassier y panty en encaje suave",45000.00,20,"90% Nylon, 10% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",1,1,https://images.example.com/conjunto-rosa-1.jpg,Rosa,1,3,1,L,Rosa,4
1,1,"Conjunto Rosa Clásico","Conjunto de brassier y panty en encaje suave",45000.00,20,"90% Nylon, 10% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",2,1,https://images.example.com/conjunto-rosa-2.jpg,Rosa,0,3,1,L,Rosa,4
1,1,"Conjunto Rosa Clásico","Conjunto de brassier y panty en encaje suave",45000.00,20,"90% Nylon, 10% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",1,1,https://images.example.com/conjunto-rosa-1.jpg,Rosa,1,4,1,XL,Rosa,3
1,1,"Conjunto Rosa Clásico","Conjunto de brassier y panty en encaje suave",45000.00,20,"90% Nylon, 10% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",2,1,https://images.example.com/conjunto-rosa-2.jpg,Rosa,0,4,1,XL,Rosa,3
2,1,"Conjunto Negro Elegante","Conjunto liso con detalles en encaje",52000.00,15,"85% Poliéster, 15% Elastano","S, M, L",1,"2026-05-19 22:24:50",3,2,https://images.example.com/conjunto-negro-1.jpg,Negro,1,5,2,S,Negro,4
2,1,"Conjunto Negro Elegante","Conjunto liso con detalles en encaje",52000.00,15,"85% Poliéster, 15% Elastano","S, M, L",1,"2026-05-19 22:24:50",4,2,https://images.example.com/conjunto-negro-2.jpg,Negro,0,5,2,S,Negro,4
2,1,"Conjunto Negro Elegante","Conjunto liso con detalles en encaje",52000.00,15,"85% Poliéster, 15% Elastano","S, M, L",1,"2026-05-19 22:24:50",3,2,https://images.example.com/conjunto-negro-1.jpg,Negro,1,6,2,M,Negro,6
2,1,"Conjunto Negro Elegante","Conjunto liso con detalles en encaje",52000.00,15,"85% Poliéster, 15% Elastano","S, M, L",1,"2026-05-19 22:24:50",4,2,https://images.example.com/conjunto-negro-2.jpg,Negro,0,6,2,M,Negro,6
2,1,"Conjunto Negro Elegante","Conjunto liso con detalles en encaje",52000.00,15,"85% Poliéster, 15% Elastano","S, M, L",1,"2026-05-19 22:24:50",3,2,https://images.example.com/conjunto-negro-1.jpg,Negro,1,7,2,L,Negro,5
2,1,"Conjunto Negro Elegante","Conjunto liso con detalles en encaje",52000.00,15,"85% Poliéster, 15% Elastano","S, M, L",1,"2026-05-19 22:24:50",4,2,https://images.example.com/conjunto-negro-2.jpg,Negro,0,7,2,L,Negro,5
3,2,"Conjunto Rojo Pasión","Conjunto atrevido con transparencias",68000.00,10,"80% Encaje, 20% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",5,3,https://images.example.com/conjunto-rojo-1.jpg,Rojo,1,8,3,S,Rojo,3
3,2,"Conjunto Rojo Pasión","Conjunto atrevido con transparencias",68000.00,10,"80% Encaje, 20% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",5,3,https://images.example.com/conjunto-rojo-1.jpg,Rojo,1,9,3,M,Rojo,4
3,2,"Conjunto Rojo Pasión","Conjunto atrevido con transparencias",68000.00,10,"80% Encaje, 20% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",5,3,https://images.example.com/conjunto-rojo-1.jpg,Rojo,1,10,3,L,Rojo,3
4,3,"Pijama Satinado Lila","Pijama de dos piezas en satín",75000.00,25,"100% Satín de Poliéster","S, M, L, XL, XXL",1,"2026-05-19 22:24:50",6,4,https://images.example.com/pijama-lila-1.jpg,Lila,1,11,4,M,Lila,10
4,3,"Pijama Satinado Lila","Pijama de dos piezas en satín",75000.00,25,"100% Satín de Poliéster","S, M, L, XL, XXL",1,"2026-05-19 22:24:50",6,4,https://images.example.com/pijama-lila-1.jpg,Lila,1,12,4,L,Lila,8
5,4,"Body Negro Encaje","Body de encaje con broches",85000.00,12,"90% Encaje, 10% Elastano","S, M, L",1,"2026-05-19 22:24:50",7,5,https://images.example.com/body-negro-1.jpg,Negro,1,13,5,S,Negro,5
5,4,"Body Negro Encaje","Body de encaje con broches",85000.00,12,"90% Encaje, 10% Elastano","S, M, L",1,"2026-05-19 22:24:50",7,5,https://images.example.com/body-negro-1.jpg,Negro,1,14,5,M,Negro,4
6,5,"Faja Reductora Beige","Faja moldeadora de cintura y abdomen",95000.00,18,"70% Nylon, 30% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",8,6,https://images.example.com/faja-beige-1.jpg,Beige,1,15,6,M,Beige,6
6,5,"Faja Reductora Beige","Faja moldeadora de cintura y abdomen",95000.00,18,"70% Nylon, 30% Elastano","S, M, L, XL",1,"2026-05-19 22:24:50",8,6,https://images.example.com/faja-beige-1.jpg,Beige,1,16,6,L,Beige,7
